compo	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022		
CEuHINOSi																							1						
CCoGdHNOP											1	4	1			4	4	3		2	8	5		2	1	1	3		
BaErOTeZn																						5							
BaLaOSiTm																								6					
CCoGdHNOS																			1						4	1			
CeLaNiSi												3	5																
CaLaMnOPr		1	2	10	18	3	14	6	13	6	4	5		1	1		3	7		1	1	1	1	1	5	1			
CrLaMnNiTiZr																													
Y	7		1	2	3				1	1		1		13		1										1			
ClNaOPbPrTeZn										4																			
NaNiOTm	3																												
AgGaY			1							4																			
BCFHLuNSi													2			3		1					3						
CrFeLaNiOSr																								5					
AsFeHKLaNaOW																				1									
CEuHIKNO																			1										
BIrRhY																													
CeLaNiSn	5		6	2																									
BEuIr																													
BrCeMoO																		1											
FeGaNdTi											8																		
CuLuO																													
BCeFeNd																				7	7	17		2	1	1			
BaKLuMoO																													
BCHNd			1		3				1									1											
CuLuP		1																											
CoDyNaOW																						1							
EuFOTmY																		1											
LiOPTiY																													
BaCuErNiO																													
FGdHNO																													
GeLaNO														1															
BrCHNOTbY																								5					
MnPbTeYb					2																								
CuRbSeSm					1																								
CGdHSi		1		1			5											2		2						1			
OsPrRuSb											3	5	1																
PPrZn				1																									
FNbORbSmTi																													
BCsEuNaOPY																									5				
AsNdPd																													
CuLuS												1					1												
BrCHLaLiNO										1												1							
BLuO			2						1							1	3		1	4		1			2				
CsGdOTi											1																		
BCeFeNi																							10						
AlCeGeNi							1																						
CGeHHoOW																				1									
FLuThZr																													
AuBEr																													
BaCuHoLaO			1				5																						
BLiNdOSr																				1									
BCFHNSiYb																		1			1			1					
DyFSr																													
BLuS																1													
FLaLiOS				1																									
AlSnY																													
CuLuY																													
ErFeNiSi																													
NdOPbZr																				5									
CClFGdHNOPZn																							1						
DyErGdNdOPrS																										1			
OTaTb										1								1							1				
CoEuGdO													9																
