	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
PT	88.2786	120.931	150.471	91.4444	263.787	499.448	343.932	317.462	225.475	331.705	253.879	227.257	350.733	435.012	287.339	427.799	358.757	389.111	389.581	293.801	250.795	183.533	209.743	229.377	215.206	139.903	160.876
NZ	251.69	226.95	307.4	129.883	428.352	253.802	275.043	394.069	317.279	291.529	249.33	276.525	147.465	175.13	320.749	343.506	225.192	310.175	255.38	226.474	367.668	232.852	160.242	293.627	254.252	145.279	223.196
MX	50.7417	68.6371	106.794	142.291	184.571	144.638	185.119	179.192	286.247	245.655	211.931	214.433	264.331	264.844	338.102	186.617	305.157	350.491	283.126	291.491	331.355	342.112	389.003	388.164	480.444	199.735	251.236
HK	82.5	240.222	188.35	192.393	308.868	254.431	242.521	308.575	267.34	209.792	130.659	201.268	154.631	279.557	244.294	308.785	85.9057	222.664	270.172	169.961	198.941	226.902	215.04	325.949	298.477	187.227	215.462
IL	168.7	81.1759	184.602	120.89	192.09	133.293	255.088	251.242	235.119	339.619	288.16	227.044	265.055	206.279	211.989	227.095	219.621	401.166	186.641	265.256	215.024	198.213	278.511	190.233	186.36	111.444	212.625
SE	108	231.039	120.167	202.693	134.652	294.272	198.822	204.074	266.373	338.521	284.771	237.369	254.477	227.698	191.626	250.872	226.431	189.929	145.052	256.477	180.528	231.286	133.439	98.197	299.494	138.447	172.563
IE	101.883	66.9714	62.9833	173.944	152.417	119.539	186.493	125.083	225.279	240.349	147.79	116.276	199.912	237.818	324.34	379.619	225.268	358.41	265.296	182.24	188.389	194.739	192.68	170.382	138.108	126.451	146.232
GR	109.752	102.85	113.164	233.535	96.319	118.74	147.457	78.2976	145.555	161.688	197.06	339.902	269.226	143.744	197.616	140.473	119.59	269.246	149.683	125.827	155.641	93.7034	184.367	126.069	79.8889	223.022	155.742
BE	131.619	149.769	77.4869	150.566	90.0976	127.337	136.959	181.521	109.283	163.591	82.0989	115.563	57.5849	202.339	154.625	137.323	124.596	217.684	160.445	214.59	299.266	154.248	166.42	114.935	232.903	153.043	160.039
FI	66.9136	64.8167	99.7881	104.78	108.322	159.452	113.658	109.295	129.056	180.94	188.921	177.433	293.348	277.07	174.795	105.416	155.431	204.574	174.602	165.67	178.256	135.4	90.8732	128	111.948	112.501	83.4196
DK	10.1636	45.3	33	18.8667	41.6	136.633	127.322	124.683	77.9556	96.2236	92.0917	81.4667	93.9381	163.073	111.71	236.955	264.203	388.864	558.143	83.4303	104.918	203.747	202.911	134.871	230.405	52.3556	66.8554
HU	40.848	51.6833	65.3	66.8444	131.298	238.069	95.8845	152.046	130.275	147.368	122.215	126.452	99.2984	132.394	93.5111	126.041	107.106	233.787	119.095	155.069	115.685	126.216	178.47	97.383	130.145	201.599	140.652
SA	19	13.3333	11	29.1667	11.1667	4.42857	29.9167	48.75	22.6667	6.36111	26.4476	42.0952	20.5	31.7333	40.1451	107.165	76.6388	166.28	197.071	186.983	220.143	182.561	202.599	277.799	291.721	309.936	276.747
PK	9.66667	6.85714	0.666667	16.0833	14.3333	47	63.7024	20.3333	33	11.6	24.15	51.0238	40.3167	55.756	54.0238	56.4349	87.6532	214.397	154.105	155.447	233.201	230.418	195.32	256.347	224.024	199.99	218.834
AR	53.6952	13.8	27.0429	58.1274	69.4524	71.6972	107.358	61.2675	79.731	98.2548	100.371	76.6893	183.921	85.5111	102.11	96.4694	148.756	148.626	147.595	81.9918	109.018	82.4167	64.5571	51.3206	68.0677	38.2071	50.3119
NO	12.15	28.1905	75.15	38.4667	57.8186	126.667	99.4	53.9583	89.5869	73.9167	129.267	109.483	92.6643	82.5381	106.339	181.651	30.4488	23.7865	37.95	68.3159	76.7175	81.0835	82.3762	56.256	220.419	116	47.9964
UA	30.35	33.9667	18.9762	42.1452	73.9893	114.227	100.423	99.0964	94.2905	85.319	77.4179	86.2667	69.3808	117.653	91.5575	108.694	86.0914	96.8879	128.883	111.149	81.328	101.768	73.3737	51.0221	62.0951	60.31	54.7429
CL	86.6643	92.7429	39.1667	69.2464	51.0004	42.575	112.82	113.162	151.669	49.6389	68.4095	59.1619	60.4604	94.1437	80.2496	107.75	44.9214	82.6036	62.9734	79.3307	42.6354	124.696	56.2533	87.6345	89.7356	107.201	60.256
RS	2.5	7.6	13.3571	32.3333	22.4167	39.9381	22.2095	16.4119	28.3238	33.5333	29.281	53.7143	26.0491	77.9012	51	37.161	136.356	125.508	152.978	152.572	143.776	173.733	246.413	70.1633	158.161	118.474	140.816
RO	29.8333	21.2	10.65	38.025	53.8	41.0183	20.0587	42.5405	29.7988	49.312	40.8881	35.8286	114.86	87.5877	143.975	94.0571	48.8203	121.996	86.7913	104.127	64.5128	100.641	118.73	91.7599	88.7016	111.317	124.58
HR	42	23	15.269	26	24.381	21.6	64.25	45.1929	43.2063	35	30	47.7143	56.0167	69.3333	60.1381	34.4238	56.2984	73.8095	56.4131	54	69.298	156.007	80.5429	175.16	107.96	74.6705	112.445
SK	26.2833	11.4833	30.5548	26.3952	46.5917	29.3667	38.569	24.325	78.6679	27.6683	27.431	30.8794	68.5952	45.7615	78.1107	53.621	37.1489	91.8988	71.9469	107.375	69.1628	84.0001	80.5895	112.118	88.4705	94.7571	57.3425
MY	15	12.9381	12	17.9262	17.0143	31.2929	37.8444	46.6548	19.6202	15.8452	8.78333	21.6394	29.2595	47.4833	22.8667	52.9298	75.7126	129.998	205.372	115.555	90.8524	90.6317	64.2024	87.094	63.0023	56.7492	54.4476
IQ		19	17	17	13.5	26	3.33333		10.25				0.6	1.25	18.75	22	15.5	45.4571	29.4048	23.7	32.7333	45.5333	79.7667	108.048	134.732	166.473	175.665
BD	7.77143	5.73333	14.0381	4.63333	9.83333	7.8	20.4429	12.4444	18.2444	47.85	11.8	53.4333	39.5714	45.6871	18.2881	30.9024	57.5714	27.2571	49.754	49.5508	64.0286	38.0024	62.5974	46.9139	55.168	93.7167	59.8032
TH	1	7		3	2.2	4.09286	9.64286	10.6333	13.2381	23.1667	20.6905	21.6714	28.4317	65.4833	47.6762	147.284	25.9655	37.5619	53.3929	65.4181	51.9298	39.319	37.6654	32.7825	44.071	65.219	66.9702
SI	10.7	2.16667	2.6	2	28.2	13.1333	15.8833	15.5452	26.1937	37.35	19.7917	21.7917	44.7	13.5056	46.244	60.2214	19.8341	44.2119	73.9585	62.3262	43.4355	62.5183	44.2913	50.9701	44.568	29.8418	74.2371
JO	17.6	28	0.75		14.8333	14	66.95	35.1	12.5	1.375	61.5381	39.4167	51.9833	13.1872	33.4833	15.1929	47.2167	41.1528	33.7429	21.297	37.7262	60.3479	61.8937	60.3333	49.4952	51.0333	27.9537
