	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
GR	58.3333	16.4952	43.2667	163.6	39.6944	25.6857	31.7443	22.7167	32.525	19.1667	53.975	34.4833	14.8667	17.7579	56.0357	20.556	27.975	26.8226	20.5	28.2413	11.4079	4.83333	28.3472	15.9015	18.7381	28.6964	17.6481
RO	75.8286	24.0214	16.119	59.2	37.3333	20.4476	29.3	21.8	15.3667	45.0444	8.35	36.2917	36.9905	43.3333	28.2952	45.4381	21.45	26.6397	16.106	46.5833	36.3667	11	21.6417	22.2175	29.1083	53.9609	32.4982
NO	18.2	8	60.0444	28.95	13.6524	7.46429	27.8571	37.4071	48.1	37.8968	56.35	72.7333	55.5333	42.05	27.2976	44.0167	16.7476	26.1548	23.4	46.6167	32.1095	7.14286	21.1667	1.80476	11.625	32.8667	43.6833
TN	1		8.4	2	23.4167	32.881	18.4333	35.7667	50.3333	16.7857	17.3667	18.15	17.1333	48	36.681	30.3	13.1167	26.6929	21.006	33.8167	63.6762	95.0238	44.627	82.0302	48.0048	30.6774	28.5687
TR	4	4.2		10.25	5.16667	16.5833	12.5595	12	105.5	56.95	17.9167	47.4333	35.6667	22.5	57	17.8619	41.1857	24.55	34.0588	35.1333	25.5	17.5	31	34.5754	21.8607	65.3655	32.7187
IR	2	11	1		1		4	20.2	6.25	21.0417	4	14.4	27.2	15.8167	37	29.95	22.5667	27.3	23.1111	27.9	88.681	56.5952	44.675	31.2682	23.1635	25.375	45.819
BY	24	39.6667	49.7	29.85	44.4214	17.4	17.6429	15.0143	16.8238	18.2308	54.7583	35.169	34.8333	14.1286	2.95	38.4	1	0.8	1	7.2	6.66667	9.40476	4.84091	13.0128	2.6805	2.95192	16.862
MX	8	9.6	10.25	4	2.8	8.66667	7.4	21.2333	33.5238	18.1429	17.1667	4.51905	20.4	3.71429	38.5333	9.45	14.0333	5.45455	9.275	20.0667	2.22857	30.375	67	25.65	31.8645	16.9976	24.7
PK						5	3	0.25	1	9	5.2		4.4	8	15.8333	18.7	24.7333	21	31.1107	33.5107	29.8	50.3619	34.9063	27.8066	79.9246	25.7266	34.2134
SG	2		4	5	16.5	16.2222	37.3333	12.25	3.49351	24.2	6	9.08333	13.1964	27	36.2778	20.7286	10.6667	63.3333	20.0667	2.2	25.0032	24.8918	38.2548	5.70833	13.4222	9.65476	7.36142
ZA	8	14.3333	1	19.25		8			1.2	14.25	9.4	13	11.25	14.1905	31.1121	7.36364	18.8333	2.38889	14.3333	10.2667	25.1667	73.7476	9.33333	15.65	71.7266	25.6333	14.5
AR	1.66667	18.5	7.85714	15	15.6833	33.6	49.7278	19.9667	22.3095	9.83333	9.4	13.4643	22.8333	15.5167	18.5	12.8024	14.6071	9.33333	10.7095	14.2429	6.67619	13.1667	9.61667	25.6619	11.3333	14.7786	13.6
DK	10.8833	6.68333	5.30714	9.48571	3.5	9.15	2.85		0.285714	8.82143	2.375	13.25	1	8.75	19.5	3.83283	52.5321	12.9167	6.31905	24.4036	7.93929	16.8	14.625	49	45.725	42.8889	23.2381
IL	21	16.5985	14.5143	17.0667	25.3762	5.45	6.91071	35.1764	6.42857	26.2917	55.8214	38.75	26	6	11	6.66667	6.78571	20.1538	5.23333	4	1	4.6	7.92727	1	14.4381	13.4432	4
SA	7.33333		3			4	0.444444	14	4	4.11111		3.66667	3	4	14.5	49	8.46609	10.0048	5.54167	34.1254	12.6607	18.1349	17.7589	46.1588	34.3429	33.3775	33.6492
HK	21.4	8.9		18	6.66667	1	11.8333	19.5667	16.3939	10.8095	4.83333	13.1333	7.98214	6.42857	6.40476	19.3364	13.8833	6.85833	23.3464	18.9143	15.1108	36.7839	23.1667	11.7511	9.07778	6.55833	19.0921
SI	14	46.3333	26	15.8333	55	22.0357	3.5	3.06667	11.8333	13.3111	5	2.16667	27.25	25.7667	2.53571	3.6	6.25		4.4	4.5	3	3.33333	1.19048	0.347222	10.0857	26.9167	4.81026
VN	14.3095	10.3429	16.5095	6.5	3	2	24.7619	61.4667	12.9444	2.45	3.5641	11.8111	2	8.23611	3.83333		8.16667		3	22.25	9.6381	0.994048	4.62222	17.2394	37.9298	22.5276	8.57778
AZ					14	29	5	38	11	6		11	13	51	18.5	22.6667	1		21	0.857143		4.55	40.3333	15	5	7	2.4
IE	13.2		0.333333	3.25	3.14286	7.5	11.3333	19.3333	0.166667	19	18.2	18.6667	5	10.4286	11.0357	8.66667	27.4167	11.5333	6.75	41.3667	25.8056	5	4.05556	10.6758	8.66667	4.49495	0.25
BG	22.9048	5.32143	4.01786	13.8333	13.9222	18	10	12	13.9762	7	15.269	54	10.9667	16.5	11.4667	7.80952	10.5429	2.33333	1.95	2	5.93333	7.5		2	0.5	5.33333	1.44805
