	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
IR	151.80	239.77	337.42	384.03	580.58	571.41	1008.27	973.77	1106.05	1399.19	1823.95	2026.25	2371.35	2503.50	4143.70	4726.12	5310.62	6099.18	5457.20	5201.96	5781.50	6547.67	5614.83	5095.78	5847.58	4567.57	3959.26
BR	947.88	942.23	1188.93	1281.53	1496.33	1832.82	1933.17	1539.03	1808.95	1799.19	1872.11	1806.38	2483.00	2434.53	2668.62	2741.77	3397.79	3381.16	3640.38	4049.53	3773.71	4634.21	4586.32	5074.15	5615.13	4695.99	4159.74
UA	567.52	527.11	944.93	570.50	1003.32	2678.67	2692.26	2112.65	2792.00	2891.53	2907.53	2845.83	2755.19	2920.49	3240.62	3054.49	3946.43	2902.99	3976.42	3224.06	3112.45	2648.45	3620.43	3630.83	3284.81	3600.42	1923.81
AT	1931.07	1811.40	2030.08	1586.17	1672.48	1225.51	1419.44	1546.79	1859.39	1945.74	1667.31	1908.16	1713.72	1893.39	2215.19	1973.38	2046.26	2115.70	2248.30	2394.88	2186.78	2641.33	2430.83	3105.20	3242.14	2591.48	2295.08
TR	684.91	686.54	757.83	888.68	661.83	1360.81	1305.25	1428.70	1600.15	1773.84	1637.05	2136.68	1686.65	2261.70	2863.28	3314.28	3126.02	4246.92	3951.27	3767.22	3734.27	3931.73	3932.51	4411.74	4706.74	4710.28	5457.60
DK	1025.75	1191.45	1802.12	1976.78	2357.01	2199.96	2862.19	2602.50	2370.11	3398.47	2731.94	2581.04	1983.21	2125.34	3132.55	2893.99	2506.87	3034.73	3758.70	2187.27	2836.89	2761.52	2098.01	2134.59	2049.93	2282.16	2389.28
HU	1546.16	1825.29	1432.88	1326.76	1635.73	2069.21	1923.49	1753.56	2082.44	1284.24	1991.59	1184.95	1719.46	1440.34	1998.74	1908.35	1787.86	2148.22	2038.60	2147.15	2729.30	2546.09	2835.13	2480.03	2636.13	2772.35	2594.07
IL	1064.63	921.23	887.12	1006.77	1358.07	1078.12	1664.85	1077.46	1398.83	1506.96	1037.82	992.92	1339.93	1293.30	1321.87	1300.06	1261.61	1458.41	1153.88	1933.43	1617.02	1475.42	1674.69	1549.80	1714.24	1526.36	2086.95
NZ	996.41	1058.97	772.66	1089.55	1386.56	831.48	1093.18	969.88	1062.21	1292.65	1280.02	1154.00	1225.87	1263.43	1618.88	1765.10	1851.21	1711.28	1762.92	1584.01	1881.01	1789.72	1495.60	1782.24	1955.37	1477.36	1381.36
ZA	663.43	505.35	666.08	600.46	755.76	522.92	531.17	630.40	814.69	803.40	623.96	1198.54	926.55	845.08	1164.81	1482.63	1471.54	1810.33	1741.85	2120.84	1775.59	1891.82	2204.34	2019.80	2641.82	2531.10	1823.80
MX	478.39	630.27	657.82	861.64	594.41	858.01	934.07	720.86	1332.89	953.62	844.31	1073.57	1037.27	1129.86	1651.84	1352.51	1445.09	1719.49	1547.45	1875.27	1851.45	2611.14	2067.05	2522.88	2038.56	1775.76	1899.11
PT	252.88	426.20	577.72	587.59	786.51	1250.95	1341.33	1215.72	1283.55	1218.72	1337.91	1296.11	1377.31	1765.61	1727.67	1870.27	2024.21	2429.57	2072.90	1876.81	1644.23	1619.21	1348.44	1485.72	1496.09	1724.87	1467.82
GR	950.69	425.35	637.45	764.26	644.29	987.43	1331.75	1193.21	993.66	1159.19	1358.00	1437.49	1469.01	1239.35	1533.43	1590.99	1212.34	1391.39	1250.72	1244.18	1252.27	1154.91	1253.09	1394.85	1236.12	1359.83	1523.72
IE	332.62	329.55	393.54	442.28	437.34	646.74	677.76	594.88	868.54	908.98	806.35	1256.76	1407.17	1615.08	1994.20	2185.03	1778.72	2005.07	1720.19	1733.66	1651.67	1533.63	1660.35	1746.99	1504.86	1565.61	948.06
SA	104.75	133.52	254.39	258.50	402.17	198.40	159.61	265.00	376.00	165.67	251.50	461.26	303.53	446.37	871.87	1102.55	1326.83	1825.42	1800.01	1884.67	2566.84	2022.62	2208.12	3025.32	3318.20	3100.36	3135.49
FI	506.85	657.47	524.94	581.18	772.23	1001.88	807.88	712.18	890.01	1021.42	1234.44	1026.02	1040.55	1473.73	1611.54	1016.12	1234.71	1142.97	1197.41	1310.56	1273.34	1071.81	1054.81	1213.32	928.56	830.37	681.44
TH	110.78	70.36	107.57	136.78	152.48	334.97	512.35	573.39	499.61	481.68	586.06	704.24	434.98	840.39	1001.32	1229.08	1195.99	1273.99	1252.59	1634.35	1293.59	1765.27	1682.85	2057.67	1772.55	2471.06	2616.19
HK	173.76	374.54	406.68	471.50	625.24	828.14	604.70	696.59	774.95	656.93	547.28	488.13	382.39	678.60	1032.80	1100.97	940.52	876.17	836.45	765.36	538.33	984.58	1336.20	1614.70	1576.81	1475.63	1183.44
