compo	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022		
Pr	521	637	538	504	521	450	457	471	509	365	531	469	473	397	484	323	298	264	294	331	350	406	432	339	333	323	315		
Pt	86	32	33	49	53	48	29	37	32	56	52	83	93	57	39	53	38	15	24	45	15	63	25	76	71	29	41		
Pu			5	1	1		6	8	2			1		2		3		2							1				
Rb	36	11	22	6	10	13	22	11	34	15	18	8	48	11	23	8	12	12	15	35	25	33	20	37	99	35	88		
Re	20	18	52	38	20	21	18	9	11	9	33	13	16	27	64	28	13	11	10	10	21	9	29	6	5	10	10		
Rh	57	82	67	51	24	46	65	39	72	44	38	92	45	72	113	31	7	15	7	35	24	46	68	16	32	33	21		
Ru	91	106	52	77	164	133	72	135	149	97	93	189	66	69	154	79	63	34	100	126	49	77	89	104	70	65	34		
S	206	238	256	314	267	337	461	402	365	431	539	524	446	438	591	475	508	595	672	767	576	680	646	886	735	606	773		
Sb	74	80	57	75	70	125	90	87	56	115	88	131	129	136	134	186	82	67	113	108	195	160	172	167	173	186	119		
Sc	131	144	167	184	155	225	292	169	326	290	353	362	379	326	414	409	245	283	245	241	344	385	386	323	355	371	351		
Se	52	37	50	24	70	47	106	92	85	82	51	94	102	85	70	106	81	44	35	61	55	69	86	62	61	37	96		
Si	388	495	575	590	449	465	648	588	668	591	817	918	783	828	1039	913	743	734	973	968	1024	1091	770	862	810	675	910		
Sm	493	449	595	561	685	406	438	452	419	449	371	487	369	546	584	598	415	450	422	529	575	662	685	531	566	516	841		
Sn	140	118	86	82	106	93	161	81	120	151	200	135	179	113	156	107	72	113	71	100	134	158	127	58	154	117	152		
Sr	846	816	790	802	812	679	504	591	618	581	655	659	518	615	672	620	438	343	464	628	619	781	695	636	622	631	803		
Ta	33	43	63	77	62	35	33	13	75	26	59	64	70	45	98	36	35	20	12	50	38	57	75	103	139	126	102		
Tb	252	350	329	320	306	236	350	343	351	365	449	485	448	498	439	544	575	818	793	1049	982	1122	1013	1011	1137	845	832		
Tc										2			1		10						2		1						
Te	27	39	22	45	82	69	44	42	104	68	60	62	96	72	96	95	51	45	110	82	54	86	140	72	51	148	106		
Th	27	41	14	35	8	8	8	13	2	17	19	8	8	1	30	16		4		8	29			11	16	3			
Ti	237	394	268	176	328	293	416	303	377	315	440	253	260	426	340	444	253	157	255	275	400	508	438	398	309	385	332		
Tl	37	55	1	18	13	27	31	35	21	21	12	17	23	16	47	12	3		7	4	4	15	26	9	10	5	3		
Tm	107	113	140	124	137	149	132	102	124	190	121	175	116	156	161	161	150	151	184	146	181	298	211	175	203	172	162		
U	93	22	66	32	33	248	43	18	6	18	34	65	8	51	31	11	25	34	16	12	12	12	32	11	38	35	6		
V	83	82	178	66	90	80	99	74	88	40	45	46	72	111	149	133	110	84	98	111	66	109	171	173	130	124	122		
W	50	58	53	53	104	73	106	73	145	98	137	153	241	203	248	217	220	190	290	271	294	296	317	290	327	254	255		
Xe		3				2			4	39	1				5											22			
Y	1174	970	1090	955	965	816	951	762	773	792	903	904	1011	843	1242	1042	920	963	968	922	1161	1095	966	1072	1080	1203	1133		
Yb	261	233	340	301	314	369	438	412	555	374	494	539	388	582	687	521	479	633	550	532	631	867	610	737	547	687	683		
Zn	198	139	153	99	142	141	202	58	178	129	211	176	181	314	272	229	231	216	487	277	470	460	462	363	288	406	265		
Zr	198	113	228	151	118	132	258	142	198	208	176	202	149	243	214	209	126	103	171	173	288	223	213	128	202	296	235		
