compo	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022		
BeCHHeNO								3																					
BCHSU														2															
BCHSV															2								1						
BCHSW						1																1		1					
BeCClHLiNSi																													
AsBCHPdSe				1																									
CFeHOOsP		1						1				11							1			7					1		
AsCClGdHNO																											1		
CFeHOOsS												14			1														
CCoFeHLaNO			10																										
CFGaOS													1																
BCNiScY									3																				
CClCoHNOPbS					1																								
CCoHISb									1																	3			
CHHgNbPSi	1																												
BCFHNOPSiTh														1															
CHNRuSbSn																													
BCFHNOPSiTi										1	1																		
AsCHIOPt													2		3		2		5			1				10			
CErHOPt																									1				
CClFeHNO	118	107	163	131	192	192	173	246	275	242	229	313	237	372	255	272	267	367	338	249	287	336	324	298	227	233	186		
BCHSc										1					10		4									1			
BrCHOReSb																													
CClFeHNP	3	7		7	1	3	16	17	1	4	8	11	12	30	23	16	10	13	14	16	24	24	25	22	17	10	6		
AsCHNNbP														3															
BrCHOReSe				4																									
CCoHISi					3																								
CClFeHNS	2	2	6		1	4	5	11	4	5	3	9	12	14	19	15	8	18	15	7	15	5	12	10	11	13	15		
BCHLiOSe																								1					
BiCClFHPPtSe							1																						
CClHOsPSSe																													
CClFeHNU																							2						
CClFeHNV			1																										
BrCHOReSi	2																		4										
CCrCsFHO																1													
CClFeHNW																3								1					
BCHLiOSi	1	1	1	2		2		1	2							1		1				1		2	2				
AuBCClGaHNOP																			1										
CClFeHPRe						2										1													
CFeInN																													
CClFeHNY																	1												
CFeInO				1																									
BCHSm			1		4				1	1		2											1						
CCuHKNOP												1			1				1		2			1	6	1			
BCHSn	6	3	1	2	7	5	8	9	8			5	2	5	2	1	1	18			1		1						
CClFHNOPtS			1	3	5		1	1	5	5	3	2	10	7	19	10	7	20	17	14	20	8	16	24	10	10	5		
CClFeHPRh		2	1	6	1		3	1												2	1	1	1	3	4				
BCHLiOSm					6																								
CHOPRuZn																								1	8				
BCHLiOSn												2													1				
CFHNOPSSnW						3																							
CCuHKNOS								1		1		1		3	4		1				2		9		2				
CHNNpOSe																											2		
CFGaHNPSSi				1																									
BBrCFHNNiO																			1				1						
CHILiOSiSm																									18				
BBrCFHNNiP									1		1					2		4				3		2					
CClHPU																1					1		1						
CClHPV	1		1				2																3						
AuCClFHNOPReS									1													3							
AsCCuHNNbOSb																				1									
CClHNOPSiZn		1													1														
CClFeHNb																													
CClHPW	2	4	2	2	8	1		1	3	1		1			15		1	4	8						3				
CHNOSiSm		3	3	4	1	3	5	6	8	1	2	3	4	9	7	8	12	6	12	8	2	15	1	4	5	3	1		
CHNNpOSi																								2			1		
BBrCFHNNiS																			1										
BrCHNNaOPPdS																5	1					4			1	1	2		
CHNOSiSn	9	6	14	4	2	3	2	17	7	6	1	11	5	7	2	4	4	30	31	22	17	24	12	7	7	38	24		
CClHPY	1				4																								
CCuEuHMoNO																				1									
CClHNOPSiZr			3	3			2			1																			
AlBrCFHNO						2							1												4				
BrCCuHNOPZn																													
CHNOSiSr													1				4	6	4	3	1		6	3	2				
CClFeHPRu	1	11	31	1	11	13	2	21	6	18	6	9	3	13	1	6	10	5	1	2	2		1	2		8	1		
AlCCrHNOPW																									1				
AgCFHNORuS					1													2				1							
CClCoHINPTi																				3									
CCoFeHNiOP																													
CEuHKLaNO																			1										
CClCuFeHNNaOP																	1												
AsCNb							1																	1					
CClFeHLiN																													
AuCClHTi				1																									
BCFeHKNNaOP																						1							
CClHPb	1			1						2										1				1					
CClFeHLiO		2									1						1	4											
CClHPd	9	13	46	5	6	1	11	3	4	2	7	7	2	18	5	2	4	3	2	6	3	1	3	9	4	4	3		
BCFHPPdPtSb																													
AuCClHTl												1																	
CHHoSi							5	1			1	1				1	2												
CClHNOPSZn			1	1	1			1		3		1	7	1	5	2		1	2					1			5		
AuCHSSe													1	1											2				
CCoGeHO				1		1	1					1																	
CCdHNORuS																													
CCoGeHP								1																			1		
CClHNOPSZr						4																							
CClHHfRh			1																										
AuCClHPPdPt																													
BrCFeHNiOPSi						1																							
CClHPm							4																						
CClFHNOPPtSb											1				1														
AsCCsHKNNaOSbW																					1								
BCClFHOsPSi			1		1	1																							
CClHPr							4					1																	
BCClFHIIrNP																					1								
CClFHNOPPtSe																													
CClHPt	5	3	1	4	2	10	7		3	2	19	8	1	8	3	25	8	5	10	5				1	1	5	1		
AgAsCFHMoNOP																										7			
CFHMgNOPS																										1			
CClCuHINNaOS										1																			
CClHPu																													
CCoCsNO																													
CHIrMgP			1																										
CClCuFeHMnN																										1			
CFeHPReSe										1																			
CDyHOSiW																		1											
CFHNbSb																													
AlBrCHPPtSn																				2									
CCoCsNS																										1			
BaCHNORe							1	1	1			1																	
CFHNbSe															3														
BCClHLuNO																		1						1					
AlBBrCFHNOP																											1		
CDyHORb																					2								
BCClHOPPtSZn											1																		
AlAsCCuFFeHO																										2			
BCGeHIrOPRh																	3												
CFHNbSi						1			1																				
CCaORu							1																						
BCDyHSi												2															2		
CGaHMoNSi												2																	
BrCClCuHNRe																							1						
CFeHNPSiSn																									1		1		
BrCCrNaOSn																													
CHHoNOReTe													1							1									
BCClHNORhRuSe										2																			
BCFeHNNdOP																										1			
BrCClHNOPbS																							1						
BaCHNORu												1				1													
CClHPPbRh																					1								
CFHMnNaO																		3							2				
BCFFeHPZr														1															
CClFeHIrNPPtS																				1									
CClFFeHPPdPtS									1																				
CHLiNOPRuSi										1																			
BCCrFeHNOP																													
CHINPSSiZn																		1											
BCFHNPPdSSi														1															
BCFHNNaOZn																		3											
BCDyNi		2																											
CFHNPPdPt		1	1	1	1	3			1	1	3	1	1			4			1					6			3		
CFHORuSTe					1					1																			
CHHgIOPRe						1																							
CClGaHMoN									2																				
CHNiORe																													
CClGaHMoO																													
CClCuHLaNOPdS																4													
CHNiORh			1																										
CCrErFeHNO																										1			
CClFFeHInNOS																		1											
CClErHNNaOS																											1		
AsBCHOSSn																													
AsBCHPdTe				1																									
BCFHPPtSZn																		1											
CHMgNNaO											4			1	1			2	2	1	4			2	2				
CHMgNNaP																							2						
CCoHKNiO								1																					
CFHInNOPS																							1		3				
CGaHINORh																													
CClFeHPSW							2																						
CHMgNNaS															2														
CHNNiScU																													
CEuHMoNNaOS														1															
CHNNiScV																					1								
BCHTa	1		21		3			1								2	2												
BrCGeHYb																													
CHNiORu			1		1													2						1					
CFFeHPRhS		1																											
BCHTb																	1						1						
CCoHITe																									1				
BCClHLiNOP																		1											
CFHNNaORhS										2																			
CClFeHOP	4	35	19	13	4	8	12	2	6	3		8	2	3	2	11	3	5	11	7	7	3	4	5	2	13	11		
BCHLiOTb																											1		
BCClHLiNOS																		1											
AuCHNORhS																				2									
BrCHOReTe				6																									
CClFeHOS	2	7		2	1	6	9	2	4	3	3	4	2	1	9	9	10	9	16	6	4	1	1	5	1	2	5		
BCHLiOTe																								1					
AlCClHNNaOS						1							1										1						
BCHTh						1												1				2							
BCClHLiNOV					1																								
CHILiOSiTb																						1							
BCHTi	1	1				4	1	2		2			2	4	8												4		
CClFeHOV																					4	3	1		1				
BCHLiOTh									1																				
BrCHILiZn																								1					
CHMgNaO														1		1			1					1	1		2		
CHNOSiTa	3	4	2	7	6	2	8	16		1			3	4	30	4	8			1		3			2				
CClFeHOW					1							1																	
BCFFeHNPRuSb								3																					
CHNOSiTb					1				2			1						1	1	2	1			2	4		1		
CClFeHPSe																	2		2										
BCClHLiNOY							3								2														
BCHTl							3				4		1																
CHINPtZn																							1						
CHNOSiTc										1																			
CClFeHOY														1															
CClHHfSiSn							1			1										1	2						1		
BCHTm			1									1																	
AsCClHNiSe																													
CClHINNdOW																									1				
CCuHHoNNiO																						2							
CHMoNaOPReS																													
CClFeHPSi											1	2	6	3	4		1	3		7	1		3						
CDyFeKN												1																	
CHNbSSi							1																	1					
CHNNpOTc																						1							
BCHMoNOPPdSi												4																	
CHNOSiTh	1								2	1		3				1	1	5	4	3			5	5			4		
CClCrHI																													
CHNOSiTi	10	29	13	6	46	9	9	26	9	22	8	24	5	27	7	10	4	17	10	5	2	12	8	4	3	9	3		
CClCuHNdO				1																									
CHILiOSiTm												2																	
CClFeHPSn															1	1								1			1		
AsCOW																													
CHNOSiTl			1	1																									
CHNOSiTm						2		1	1			2						1			2			1			3		
CCuHKN							6								7				1										
CClCrHN	7	6	13	12	27	12	13	23	52	12	25	34	24	27	21	30	35	9	26	20	25	41	18	22	30	20	10		
CCuHKO	1						1	4	2									1		1			4						
CClCrHO	5	16	25	28	13	6	8	2	7	16	10	22	24	17	1	15	1	3	4	8	4	10		1	1	10	4		
BCClFHNOPPdS																	1												
CClErFHNaO																					1								
CClHNbOPSi				2												5													
CClCrHP	6	2	3	2		20	2	1	7			2	4		2	1	4	5						6					
CFGaH			1	1	1	1		1	1			1	1		1			1						1					
CFHLiNSiSn								1																					
AlBrCFHOP																		3											
CClCrHS					3						2		3	3								1			2	1			
BrCHNOSbV																													
CFHInNOPt														6															
CCoHRhSe																													
BCFFeHNOPdS										1							1		1							1			
CFeHOPPtSiW																													
CFGaN																									1				
CFGaO				1											1														
CClFHIrOPPd									1																				
CHLiNiOPSSi																									1				
CCoHRhSi						2																							
CClHHfSb											2																		
CFGaS															1														
AgCClFHPRu					1			1																					
BrCCoHOSi						1													2										
CClHORuSiSn		1					1																						
BBrCClFHNOOsP																										1	1		
CClHHfSe							2																						
BCFHHfOPSi																			2										
AgCFHHgNOS											1		1	2											1				
CHInNNaO																	1	2					1	3		2			
BaCHNOSU											1		1																
CHMoOSbSi																													
CClFeHNNaOPW																											1		
CEuFHORb															1	1	2				1								
BaCHNOSW																													
CClHHfSi	7	2	4	3	9	6		16	5	19	1	12	14	2	2	2						2	3	1	2	2			
CFeHNNaOPRu										1																			
CHIIrLaNOP																													
AlBiCHNOSi														1															
CCaCrHNOPW																									1				
CClHHfSn							1			2					7				1										
AlCTaTi																													
CClFHIrOPPt			1						1											3									
CDyHOSY																							2						
BBrCFHMnOSi														1															
AsCFeHNOZn							3																						
CClCoHNPRhS					1																								
BCHNOPSSn																		6											
CHHgNSiTi					1											2													
CCuHMoNSSe		6																											
CGaHNNiSSb														1															
CClFeHNNaOPd																			2										
BCCrHNOPPtSi											2																		
AsCFeHINO																													
CCaOSn		3																											
CClFHPPdPtS															1														
CClFHNOPPtTl									1													2							
CClCoFHNO	2	3		2		3	2	4	4	2	2		1	5	2	7	4	6	4	10	1	7	4	22	6	14	28		
AlBrCFHOPPd										4																			
CFFeHNPPtRhS																													
BCFHNOTeW																						1							
CClCoFHNP	1	1			3		8	1	1	1	1	4	1	3		1	3	11	6	17	5	7	6	6	2	8	8		
AlCClFHMoNOP																									8				
AlCGaHNOSi																				3					2				
AuCFHIOPSb																						1							
BrCClHNOSiSn																													
BaCHNOSi													1		1		1	1	4	1	2		3	6	5	1			
CCaOSr								1				7																	
CClCoFHNS																									2	1			
AlCCrSc																						2							
AlCClFHMoNOS														2															
BrCClCuHNSb																		1											
BBrCHOPRhS															1														
CCeFHNORb																						1							
CHIrNRuSi																			1										
CClCuHIMoNOTb																	1												
CHINOPtS	1	1	1		9	3	3	7	6	6	1		2	2			2	22	1			2	1		6	2	6		
BCFeHORuS													1												2				
CDyHOSi						1		1		2			3	2	1	1				1		2		1	1		2		
CFHOPSiSn														1								1							
AlCCrSi																3													
CErRe		1																											
CHINOPtW			9																										
CHLiOPRuS			5																										
CHMgNNiOP												2																	
BBrCCoHNO							2								1		2		3	3	6		1	1		1			
BCClHNORhRuTe										2																			
CDyHOSn																								1					
BBrCCoHNP																							3						
BBrCHMgNOSi																													
BBrCHNPPdSi											1																		
CHNiOSW	2																												
CHLiOPRuW										1		1																	
CHMgNNiOS																													
AsCCdFNS										1																			
BBrCCoHNS		1					1		4																1				
AuCClHOOsPRu								1																					
CCrHKMnNO							1				3				2						1								
BrCClHMgNO													1														1		
CFeZr	1																												
BBrCClHOPPd							1																						
CCsHNNaNbOS										1																			
CHNNiOSeW									1																				
BrCClHMgNS																													
CHNiOSb		5				1			5	4		1																	
CErRu						1										1													
CErHORb																				2									
CHNiOSe																							1	1					
CClHNdOZr																									2				
BCClCuFeHIrNOP													1																
BCFHNNaOU																											1		
CHKNOsSSi			1																										
BCErFHNO																1	1												
AsCHIORh																													
CHNiOSi	5				3	3	5	5	1										1	1		2		2	3	1			
CHHfNbO																													
AsCCrFeHOPSi	1																												
CCoFeHKNO		1	4		1	3		2	5			5			7	1	2	3	1	1	1								
BCFHOYb			1											1				1											
CErHNOSZn														1		1								1					
CHNiOSn	1	1															1												
BCFHIIrNOP							2																						
BBrCCoHNi																													
CClFFeHI																								1					
AsCClFHOPdS					1																								
CClCoHNOPdS			2	1	3			3		3		4	4			4						1							
CGaHINOSi		1																			2						1		
CHNOSiUW																													
BCHMgOPS																		1											
CClFFeHN	1	1		18	3	3	8	7	7	4	13	10	11		2	9	7	2	5	4	9	5	8	11	13	9	19		
CCrFHNOPRuS								2																					
CClFFeHO	3		1				4		2	1	3	1								4				1					
CClFFeHP	3	1		2	5					1	4	7		2	3		1	1	1	2		1			2				
CHNOPdSSiW												2																	
BCClGaHKNOSb																									1				
BrCHNTeZn																							1						
CClHNPPdSZn			1		3																								
BrCClHMgNi															5														
CHoPRu														1															
CHKMnNNaOPW																			1										
CClFFeHS																									2				
BrCCrOSb																									1				
CCaCoHMoNOP																						1							
CClFeHPS				1			1	1					3		5				2			2			1				
BCHScSi																													
CClFeHPTa							1					14																	
AsBiCH																											5		
CHIPdSb					2																								
CClHNNbOZn													4																
CHMgNbO				1			1																						
CClFeHPW															4			2											
CClFHLaNO																				1		1		1	1	1	1		
BCHNOPbPt																					1								
BrCGeHZn																													
CCeClFH																													
CClFeHPTi																								2					
AlCFeHOSi					10			7	13	3				2	10	11					2		2						
CNeOUXe									1																				
AgCClFHPSb															2						1					1			
CClHIMoNOPS						2																							
CGdHOPS																					1								
BrCHHfINO															2														
CGdHOPV														1															
CCdFeH																1													
CHNOPPbS	2				2			2				1	1	1	2											4			
AgCClFHPSi																				2									
BCHIYb																													
CHKNOPdPt													2																
CClHNNiRuS																													
AlCClFeHMgNO					1																								
AsBCFeHNO												1																	
AgCClFHPSn																				2									
CCdFeN																													
CClHORuSiTe													3																
CCdFeO								1																					
CFeHNNaOPSi												1				1			3		6	1							
AsCHNaOPdZn																							1						
CCuHNNaOP									1						2	1		2			2								
CCuHNNaOS	4				2			9	9	4	1	4		4	7	1	8	3	10	4	3	10	5	1	6	13	3		
CClHRe												3	5		6														
BCHINaO																	1												
AuCClHNOReS																											2		
CFeHNNaOPSn																													
CGdHIKOSi								1																					
CGdHOPd																							1						
BrCCoHOTi																			1										
CClHRh	2		3	2	1	1	1	3	1	1		3	2	4	8		1	6	3	6	15	19	23	8	9	5	6		
BCClGaHN	1	2		4				2	3										1		1	1			1				
CClFeHPt													1		1														
BCClGaHO																1	2												
CFGeHHgO																													
BCClHNOPReS			1																										
BCClGaHP										5																			
CFGeHHgP																						1							
CCrHNOSiSn																							1						
AsBrCHNRuS	4	4				2								2			5		1	3									
BrCClHNOSiTa																													
CFGeHHgV																													
CEuFHOSi																4													
BaCErO																							1						
CCuFFeHOPPt		1																											
BCClFHPPtRh																										3			
CCuHLi	1	6	8	1	2	1						4	5	4	3									1					
CClHRu	1	5	4	5	6	3	10	32	10	18	13	16	21	2	6		5	14	6	7	4	6	5	9	3	3	9		
CMoNNa						2																							
CCoCrHNaOP																													
CGdOYb																						9							
BrCClHNiSi																													
AlCCrHNORu					2																								
CClCoFHOP				1	1		1		1					1					1						1				
CMoNNi																													
AsCFeHIOS																													
BaCHNOTi									2																				
CClCoFHOS																													
BCClFHPPtRu																		1											
AlCClCrHMgO					1																								
AlCFFeHNNiP											3																		
BrCHNNdNiO																	1												
AsCFeHORhSe													3																
CDyHOTi																						1							
CHNNiYb																	1									1			
CClHMnPPdS																						2							
CRuSiSm				1																									
CHOPSmV														1															
CClHMoNOSSe																					2								
CCeFHNOSi																			5		1		1		1				
CErSi			1													1													
CFHNPPdRh	1																												
BrCClHNOPdS	6										1		1	3		3		2	4	1	1		1	3	2	5	1		
CHMgNNiPS																							1						
CFeHINOPZn						1		2																					
CClHMoNOSSi																													
BBrCCoHOS																1					1								
CCuHNORbSiW												3																	
CClHHoNNiOPS													1																
BCClCrHNOSb																													
CClHMoNOSSn	1									1	3				2														
BrCFFeHOSb						1																							
BCClHINOPPdW																						4							
CHNiOTa						1																							
BrCClHMgOS																													
CClHMoNOSSr																					2								
COYb													3			1								2					
CCrFHKNO						1																							
CErHOSb										1																			
AsCHIOSc							3																						
CFHNPPdRu					1						1	1	1					1		1									
CHNiOTe																				1									
AsCFHIPRh																													
CFFeHIOSSi																								1		2	1		
CErHOSe			1																										
BCClCrHNOSm							1																						
BrCClHMgOY																													
CHNiOTi														1	2							1							
BCHHgPPtS													1																
CFFeHNNaO									1															6					
BrCFeHNOZn															1			1			2	4			1				
CFHNNiPRuSSb	1																												
CHMnOReSn																													
CFFeHNNaP						1																							
BCSiY							1																						
CErHOSi							1	1		1		2				1										2	2		
BCHNSiYb				1	2		2		1	1								1			2		1				2		
CClFHNNaOPPd									1																				
CFHNaNiOPSb																								1					
CFHNNiPRuSSe																						1							
AsCHIOSn											1																		
CGeHIrPSi	1																										2		
CFeHMoNaO							2																						
CHMoNOReTe																							1						
CFHNSYb																													
AgBCClFHNOPS																						1			1				
CHIOSSc									2									2											
CHNOSiVW										16				2			1		8										
CHINNpSi																										1			
BCClFHNOSiU																1													
CGaHINOTm																	1												
BCFHNNaPd																		1									1		
CEuHKNaOPW																1													
CHIrOPRhSZr												3																	
BCClFHNOSiW										3																2			
CHLiOSSiSn							1																						
BrCClHNNb																													
AuBiCHKNOSn																									2				
BCFHOZn				5		5				2				1			2	3		2									
AsCHMoNOOs						2																							
CFFeHNPSSi																		1								2			
CClFHNNaOPPt									4																				
BCFHOZr	5	16	8	12	16	1	2	9	7	12	16	14	6		5	17	1	3		2	6	22	4						
CHIOSSm												1																	
BrCClHNNi		2		2	2		5	21		3	2	9	3	12	2	8	5	26	8	7	5	6	7	7	2	5	7		
CHIPdTe																				1									
CHIOSSn	1	3																		1	1								
CGeHKOPbSi															7														
CFFeHNPSSn				2																									
CFeNaOP																								1					
CClFHLaOP									1													2							
BaCHInO																	1												
BCFHIIrNPd																	1												
CHIOSSr																		2											
BCHNNbOSi		4	1								1					2													
CHMoOSSb								1														2							
BCFHNNaPt																													
CHMoOSSe			4		1	1										1													
CHNPSSc																		2		1									
AuCClFHNOPRhS									2																				
CClHSV	1							1			1																		
CClHINOWYb																									1				
CClHSW			3			3			1							2									7				
BCCoFeHORuSe																							1						
CHMoOSSi	2		1	3								1	4		3														
AsCClCrHINO																													
CClHSY				1				3																					
BCCuHPPdS																			1										
CCsHNaO																						1							
CFGeHHgMnO																													
CHMoOSSn	1					1	1	1											2										
BBrCFHPRuS												1										1							
CCdCsHN									1																				
CHNPSSm																										2	1		
CHNPSSn						5							2		1		3	1		1	1	2	2		2		2		
CHNOPdSiW											1	1					2	3											
AgBCClFHNOPt							1																			1			
CClHSc			1					1				1	3				1												
CHIrPdPtSi						1																							
CFHPPdSSb										6			2			2			3		1					1			
AlCClHLiNO														2	1					1				2		1			
CFHMoNO	11	16	11	4	17	11	5	19	6	7	37	22	25	10	9	13	21	20	13	9	15	19	2	26	11	7	5		
CCrGeHOSiSn															1														
AuCClHPPdSn																													
AsCEuFHNO																													
CCrHNOSiTi																					1								
CCdFHNOP					4		2				1	2		1		1	1		2	1	4	1		1	1		2		
CFHMoNP	2	4	8	1						3	1		3	1			1	4	6	2	3								
CHIrNNaOPS																			2				2				1		
CMoNOS			1									1		2															
CFHPPdSSe			2																										
CCdFHNOS		2						1		3	1	1			1	1	2	2	2	3	6	3	4				3		
CClHSi																													
CFHMoNS				3							2	1	1					2					1						
CClHPRuZn		1												1															
BCHIZr																													
CMoNOV														1															
CEuFHOTb																				1									
BrCCrHOSiZn																									2				
CHIrNPSSe				2																									
CFHMoNV				1																									
CClHSm			1				8															1		1					
CClHPRuZr	7															4													
CClHSn	9	10	5	14	5	13	18	8	6	12	11	13	11	11	11	8	3	7	5	4	7	3	11	5	11	9	6		
CCsNReSe																							1						
CHIrNPSSi												1																	
CClCoHNOPSZn						6																							
BCClFHPPtSe	1														1														
BrCFHNPdPt																													
CCuHMg																													
CHOPbPtRu								1																					
CDyFeMo	1		3																										
AuBCClFHNSSb											1																		
CClFHIrOPRu																													
CFGeHOPPtS																					2								
AsCFHMoNiO																													
BCClFHPPtSi															1														
CFFeHIOPS																													
CCuHILiMoNOSi																		2											
CCrHInNNaO							2																						
CRuSiTb				1																									
AgCCoHNNaO																													
CCdHINO	1				3		2	5	1	2	1	6	2	1	2	2	1	8	14	4	5	11	6	3	3	10	5		
CHHgLiOSe																													
CCdHINP			3																										
CClCoFHPS			3	1												2													
CHPbSbSi															1														
CCdHINS			2	5	2	6	1	1	3	2	1	1	2	2	2	4	9	1	1	1	2	1		1		2	2		
CHHgLiOSi							1			4																			
CRuSiTh				1																									
AsCFeHORhTe													3																
CFHNPPdSb		2				2	11	7	3		1		3	1	2	9	5						1		1	1			
AlCFHNOSiY																				2									
CFHNPPdSe			1						1	1	1					2	1		1	1			2	1		6			
CRuSiTm				1																									
CHOPSnV																													
CHOPSnW	3	1	5		2	1		4		2	1	1	11		6	7			10		1	3				1			
CClFeHNNaORu	1																												
CClHORbZr																													
BCCrHSi																			1										
CCeFeHINO																1													
CFHMgNOSi																						1							
CFHNPPdSi			3				1												1						1	1			
AlCCuHMgNOPd								3																					
AsCHMoNOPS									1																				
AlCHLiNOPRh																											2		
CCoNaO							1										1												
AsCHMoNOPW														2															
BrCFHNPPdPt													1																
CFHNPPdSn																		1											
CHNNiZn		1	1	1			1				1		8	4	3		2		3	1	1		1	1	1				
BCClFeHISi								1																					
CGaHNYb														1															
CGaHPdPt								2																					
CHNNiZr																											1		
AgCFHKOPW									2																				
CHMnOReTe																													
CCuHIKMoOS												1																	
BBrCClHOPRh					1					1																			
CErHOTb																		1											
CHNNaOTeU																								1					
BrCClHNOP																													
CClHNaOPSSi																					1								
BrCClHNOS																													
AlCHLaNO											1	1			3					1				5	2	2			
BrCClHNOU															1							1							
CErHOTi			1																			1							
BrCClHNOV									1				4		1	3	4	4	5	6	5	1	1		4	5	5		
CClHNOPbZn			3											4															
BCHOSbW										2																			
BrCClHNOW					2							4									1	1			2				
CHNPbPt													1			1													
BrCClHNOY																										2	1		
COZn	4	1	2	3				9		4	8		2	9	27	5								5					
CHLiNiO	2					2		2					8	1		1			2	5	3		4	1			1		
BCClFHNZn					1		2			2				1	3	1	2	2	1	2	1	2		1	2	4	2		
CClHMoSSe	1																												
CHIOSTb												1		1															
COZr				1	21						2		9	1		12	1			1		4			4				
CHLiNiP	3																				1								
BCCoNiTm		3																											
CClHLiNPSiU																							1			1			
CHNOSiWY														1					1										
CHLiNiS					1																								
AlCClHNPRuS																													
BCClFHNZr		3	3	1	5	3		14	2	5				2	1	5	2		1					1		3	1		
BCHNSiZn																					1	1		1	2		1		
CClHLiNPSiY							1																						
CHIOSTh																													
CHIOSTi					1																								
CHMnNOSbW																					2								
AlCHOTiZr												1																	
BCHNSiZr	1		2		1	4	1					3	1				1		1	2	2	5							
CClHNNbPSiZr																1													
AlCHLaNa													2																
CHLiSbSi																													
CHIOSTl																													
CHIOSTm				1								1																	
CHMgNdO										2						1													
CFHNSZn					3			5		3		2		3	4		5	10	2	6	6	3	6	1	5		3		
CFeIrN																		1											
CClHIPPtZr						1																							
CFHInNOSb																				1				3					
AuCHLaNOP																									2				
CFeIrO														2															
AlCFGeHO														1										3	1				
CFGaSe															1														
CFHNSZr										1												1							
CClFHLaPS				1																									
CHMoOSTa																													
BCFHKrN																3													
CDyFeNO														1															
BeCFHNNe								1																					
CFHInNOSi																	2		1										
CCeClHN								3				2	4			1								1	3				
CHNPSTb																											1		
CHMoOSTe					1			1																					
CCeClHO	1				2				2	1			1		1		1									1	1		
BrCClHNOs		1	1				1									3													
CHNPSTc	2			4	2								8				3	4	2	1			1						
AgCHNOSSb				1																									
CCoFeSmZr									7																				
AlCHNiOP										2											1								
CCuHNO	321	356	432	313	434	677	653	717	785	639	690	793	1010	867	916	872	689	889	826	807	738	888	678	715	667	590	642		
CHMoOSTi																													
CCoHINOPSiZr																										2			
CHNOPPdS	1	16	13	12	11	8	3	19	17	4	11	27	22	45	23	19	60	62	64	48	35	28	17	31	53	35	24		
BCPtTh																													
CClFeHRe									2																				
CCeClHS																													
CCuHNP	2	11	12	5	3	23	17	18	10	10	16	18	6	24	12	15	15	8	1	18	8	31	25	15	20	26	14		
CFHNOPSbSeW													1																
CHNPSTh																								2					
CFGdH								3								11													
AsCHNNiOP																							2						
CHNPSTi				2			15							5	5						3		3						
BiCClFeHNOP																													
CClFeHRh																					2					1			
CCuHNS	19	28	14	44	41	54	16	53	52	36	83	81	52	40	82	57	46	37	34	39	34	57	56	58	45	45	36		
BCClGdHNNiOS																								1					
BCCoFHOPPd																				1									
CHNOPPdW	1		2											4												1			
AgCHNOSSi																					2								
BrCHNOReRh						1			2																				
AsCHNNiOS		1													2								1						
CFHMoOPZr		1																											
CHNPSTl	1																												
CGeHNOPPd																		1											
BrCHNOSeW																													
CHNOPPdY																									1	2			
CHNPSTm		1																											
CClFHIrOPSb										3		1	1		1	1	2												
CCuHNW														3															
AsCHNNiOV											1		3																
CClHTa	1	1	5		1	2	1	28		5	15	2		1		1	4		3	2	3		1				1		
AsCHNNiOW															1														
AuCFFeHHgIPS				1																									
BBrCFFeHNPPt										1																			
CClHTb							4																						
CClFHNPdSSi																	2												
AuCFHNPPdS																		2											
CClFHIrOPSe																													
CClHTc																													
CDyFeNb				2																									
CGdHORb																					2								
BBrCClHMoNOPS																					1								
AgCHNOSSr																					1		2						
CDyFeNd		8					3																						
CFHMoOP	3	6	11	4	1		6	4	4	4	13	6	1		20	9		5	4	2		6	10	4		4			
CClFHIrOPSi			2																		2								
CCuHKNSi					2																								
BCClCuHKNO															2														
CClHTh						1				2			6	1		2	1					1		1			3		
CCdFHNPS											1			1			4												
CClFeHRu																			3						2				
CHInNNdO															1														
CClHTi	37	89	36	43	24	17	26	11	15	7	50	19	22	19	1	5	14	9	22	4	7	4	19	7	5	2			
CFHMoOS		2	2		3	9		1	1	1	1		5	2	1		2	1			1	1				2			
AsCEuFHOS																													
BrCHNOReRu		1											2	1															
CCuHNa									1																				
CHNOOsPReSe								2																					
CClFHIrOPSn		1																											
CClHTl										1				4											2				
CClHTm							4															1							
CHNOSSiYb															1					1							2		
CGeHNOPPt			1																										
CCsNReTe																													
AsCClHPdSSi																								1					
CFeHNOSeSn																1			2										
BCClFHPPtTi																								4					
AsCHKNOSnW										1																			
CCrFGeHHgI																													
CMoNPb																													
CHKOPrSi				1																					2				
CClFeHNNaOSe																													
CGdHORu													2																
BCClFHNOZn		1						1			3	1		1			1	7	2	1	1			3	1	2	2		
CHMoNPPdS			2																										
AsCHNaO																					5								
CCrFGeHHgO																													
CClHMoNORhSSe							1																						
CCdHIOP		2														1						2					1		
CCrLiNO																													
CFHInNNaOP																								2					
BCClFHNOZr		2			1		2	1		3								1		1			1		3				
CCdHIOS																													
BrCFeHSSi								2			1																		
CClFeHNNaOSn																					4								
BBrCFHIMnNO																										1			
CFHNPPdTe									1		1																		
BCHINOSiW								3																					
BCHLiNNaSi		1																											
BrCEuFHNOSSi																		1											
BCClHHgPRh					1																								
BrCCrHKMnNO									1																				
CClCrHLiOPSi																		1											
CCdFHNPt									2		3			8	1														
CHKNNaOPd									1																				
BCHHgMnO																			1										
CClFeHPPtSSn		1											1																
AlCHLiNOPSi										6							2												
