	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
FJ	0.75				2.00		2.80		25.67	0.75			1.96	0.67	3.95	4.30	3.60	5.33	11.00	6.00	1.67	20.90	0.60	7.24	1.33	1.67	0.67
CD	0.60			0.50	5.27		5.00	2.64					1.00		11.75	5.00	1.14	1.45		6.00	1.11	3.78	7.20	1.34	16.00	2.65	1.17
BB	0.20	2.69	12.08	1.40		2.33	2.00	16.20	15.50	1.50	9.00	3.50		0.20		10.17		8.67		9.00	6.00	4.50	2.00				
RE				1.00	3.00				0.67		0.54	1.83			0.83			7.47		2.99	6.80	5.04	28.79	0.86	5.67	2.22	31.43
PF	1.83	3.60	2.00											4.40	0.57	1.58	6.80	0.60	1.60	5.00	8.50	9.00	6.20	1.00	1.50	10.20	0.83
ZW	0.40	2.88	6.73		0.64	4.28	3.40		0.50	0.40		1.00					6.60	0.92	0.20	7.00				0.60	1.53	1.29	
KH			3.00	8.80	3.25				0.50						1.54			4.50	1.57	3.00				43.00	2.10	3.56	5.72
MZ		5.50	5.33		10.00		6.00							7.00	0.50	2.55	0.33	0.33	0.17	2.56	6.35	4.17		6.90		11.46	1.76
NAM															16.67	1.75	1.85					3.20	0.25	8.33	3.67	16.00	14.00
BF		3.00	0.80	2.40				1.49	2.97	28.00		2.50	1.83	1.57		1.33		3.00		0.55			0.80	0.71	1.50		2.29
SY		9.33	0.48	3.75	0.67	0.25	1.00			1.00			1.00	1.00		18.00	10.25	7.50	4.00	5.50			1.65	1.57	1.25	2.67	2.83
MM	0.17					3.00	0.67	3.75	1.50	4.50	0.40	0.25			2.00					6.03	1.94	0.89	1.21	11.72	5.91	9.42	4.37
MW		0.33													0.67		10.00						0.14			0.46	4.50
JE					60.00																						
UG				0.50			0.60	1.00	1.00			0.22		0.57	6.05	1.20	5.02	1.50	3.10	1.71		0.60		4.95	4.14	10.49	8.47
XK						0.75									1.00	5.00	7.07	7.87	5.30	2.17		6.88		5.14	9.53		0.75
RW										2.00	1.43				0.71			8.00	1.00				4.75		23.45	2.43	5.79
BI							0.40				0.86		10.00	21.00	5.25	3.00		1.00	0.17					6.40		0.67	0.11
PG	1.00	0.60	3.58	1.00		0.14		0.33			1.00	0.57	2.48	0.56	6.30	2.58	2.06	0.29	6.00	0.47	1.67				0.13		0.17
MC	2.40				6.00	21.33		0.22																1.86	3.20		
AL			1.20		3.50			1.25										2.20	4.43		1.29	10.89			7.45	2.44	
NE					5.33											0.11		3.00	5.86	3.17					5.38	1.00	2.61
ME				2.33	0.33	1.52		0.33	0.63	0.80	1.33	1.00			1.42			0.25	3.50	3.57	5.93	1.33	4.52	2.44	1.37	1.06	
GP		0.75		2.00					10.00		4.83				0.67							0.60					
MR								1.67	0.95						2.75		2.00					0.29		2.50	5.33	15.14	
KG			2.40	3.17	0.50	4.00				1.00				5.00	6.00		2.25		1.00	2.00		1.00				1.00	0.29
GY														6.00				2.00									
GA		0.40		1.65			0.43			0.57						4.67				6.00	0.14	4.24	1.38	0.50	0.47	1.53	1.50
LC											3.75																
GU	1.33	1.75	1.20	0.57	1.00		1.25						1.40	0.25	0.67	3.75	3.38						0.43	0.43	0.75	0.29	
SV														2.50			1.20		9.55		1.00			1.20	0.63	3.38	0.44
KP															3.50	1.50											
GT		5.00	1.20	7.00		0.14	2.00		3.00																	0.57	
ZM																											4.83
AO									2.65			8.17			2.61	0.83	1.56	0.67					0.67				
TG		5.00					2.20			0.50														0.63	4.90	0.67	0.25
CG							2.80															4.67					0.22
DO	2.00				0.46												3.55	2.38					1.13			3.13	1.00
LS														3.00													
SO																								2.40			
SB																											
GN		0.25	0.25		2.00								1.45			0.25	1.00	0.50	0.29	0.63	0.71					1.50	
GM																									8.89		
BJ							0.14										0.43	2.22					0.44				4.92
NF	7.00																										
BT																										1.38	5.50
BZ								5.33													0.46						
SR								1.67		4.00																	
PW					2.00										1.78						0.57	0.88					
DJ											1.00		1.60		1.75												0.67
BS																						0.14		4.00		0.25	
NI										2.00																	
GF																						1.21	0.14		0.70	1.33	
LA																			1.14			0.14	0.60			1.38	0.10
SZ					0.83			0.75																			
VI																					1.25	1.81					
SL																											
MQ																				1.67		0.82					
DM						2.00																		0.13			
D							1.33																				
VU																											
AF																0.50										0.22	0.42
AG																0.44	0.67										
ER														1.00													
MF																											
HN																											
TO														0.50									0.44				
TD																					0.14				0.25		
N	0.33																										
GL													0.22														
TM	0.20																										
CF															0.14												
GD																								0.13			
AD																											0.08
