	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
IR	145.80	225.10	310.42	363.03	568.58	546.68	983.02	915.37	1057.44	1331.06	1719.95	1934.47	2219.40	2360.88	3926.74	4541.93	5201.63	5998.14	5289.75	5050.46	5606.64	6386.83	5463.97	4969.66	5739.21	4458.18	3816.04
BR	808.05	814.71	971.02	1065.62	1344.75	1515.84	1645.80	1272.35	1468.43	1533.22	1606.04	1482.47	2142.17	2076.41	2498.43	2511.40	3214.70	3222.86	3422.46	3910.29	3596.36	4445.13	4422.31	4868.32	5328.20	4483.55	4020.46
TR	671.61	658.17	717.85	863.64	619.73	1311.59	1256.96	1317.77	1464.89	1673.72	1449.69	2013.95	1575.95	2125.92	2710.70	3030.92	3008.19	4149.11	3840.40	3638.44	3658.84	3857.87	3863.82	4336.83	4601.28	4555.23	5352.64
UA	376.41	350.48	591.28	319.97	702.69	2271.64	2538.19	1803.09	2362.99	2479.65	2433.26	2421.55	2520.32	2735.02	3019.41	2829.51	3751.47	2825.60	3763.99	3054.75	2823.76	2550.79	3450.28	3571.49	3128.31	3448.71	1810.06
HU	1489.16	1757.40	1358.93	1259.78	1504.46	2004.06	1861.44	1664.55	2016.90	1210.00	1900.08	1161.58	1695.71	1423.48	1942.95	1868.04	1767.95	2107.03	1945.12	2126.39	2717.44	2530.19	2824.09	2467.37	2618.75	2754.05	2589.43
DK	946.59	1141.02	1729.90	1881.90	2151.43	2060.74	2736.74	2353.73	1938.21	2910.89	2126.06	2320.30	1806.73	1894.25	2770.32	2626.67	2352.11	2778.07	3637.75	2002.07	2772.71	2635.41	2051.54	2098.18	2008.95	2179.47	2276.43
AT	1687.80	1435.58	1723.73	1385.61	1469.97	1076.80	1186.71	1332.38	1564.36	1759.69	1448.05	1735.27	1539.47	1709.18	1839.67	1763.33	1663.83	1952.74	2054.11	2141.26	2039.32	2471.61	2118.16	2881.51	3090.11	2492.01	2196.47
NZ	951.98	1039.39	750.16	968.49	1316.10	795.51	1033.13	940.78	1002.78	1246.64	1259.96	1124.33	1168.76	1240.13	1592.62	1675.22	1838.24	1648.92	1658.55	1555.03	1822.13	1778.41	1472.89	1756.32	1923.05	1466.49	1370.92
IL	919.17	783.10	701.99	908.45	1219.72	997.63	1422.97	981.57	1293.95	1213.25	921.11	900.64	1239.73	1223.03	1193.02	1194.71	1170.84	1354.57	1082.67	1891.71	1579.78	1436.89	1634.86	1466.57	1668.41	1496.05	2052.62
ZA	629.10	449.77	625.74	524.19	705.89	469.27	457.85	549.09	773.48	756.40	581.83	1048.24	865.80	822.49	1112.27	1459.95	1435.49	1743.94	1671.28	2080.99	1728.58	1788.51	2123.83	1967.07	2556.07	2452.88	1791.53
MX	428.59	522.42	584.08	756.40	530.07	773.95	820.18	590.20	1187.28	853.73	750.09	979.12	865.19	980.75	1497.65	1165.41	1403.28	1677.66	1484.00	1812.71	1821.90	2563.75	1965.61	2450.54	1957.45	1669.74	1850.73
PT	219.52	382.03	466.15	474.12	720.99	1145.70	1288.51	1114.34	1141.60	1121.49	1238.34	1147.04	1284.23	1666.43	1611.13	1758.90	1963.35	2333.46	1918.18	1780.51	1586.58	1546.53	1304.28	1434.61	1443.27	1535.33	1416.31
GR	816.66	377.56	558.22	703.49	565.91	905.79	1137.14	1020.96	815.24	975.14	1239.89	1257.72	1380.02	1168.81	1354.53	1499.52	1191.97	1368.68	1231.39	1229.67	1235.18	1133.96	1243.96	1376.18	1211.47	1342.56	1505.03
IE	314.42	315.65	383.54	425.71	412.35	626.91	656.79	556.43	839.29	829.00	794.20	1240.53	1398.46	1573.37	1959.83	2142.88	1737.30	1921.29	1697.43	1705.34	1642.38	1513.40	1643.43	1733.12	1502.98	1556.49	938.56
SA	86.42	125.27	253.39	236.00	395.17	189.15	155.50	244.92	375.43	145.92	227.83	447.93	287.78	401.12	821.38	1023.36	1289.34	1786.87	1739.67	1819.60	2505.86	1956.22	2165.39	2955.57	3244.03	3021.14	3024.65
FI	457.13	514.24	411.74	471.30	649.04	900.39	645.06	610.29	754.46	938.19	1095.38	958.08	966.81	1427.65	1538.65	946.44	1212.41	1068.05	1156.87	1246.24	1215.31	1033.52	1005.98	1181.45	892.21	810.25	668.44
TH	103.18	60.30	105.57	109.04	127.02	326.47	498.26	552.69	474.27	454.56	557.97	658.67	404.92	791.65	942.65	1119.71	1158.55	1227.44	1081.06	1609.96	1246.30	1578.71	1630.77	1965.76	1686.46	2362.05	2573.70
HK	138.26	351.33	388.55	450.66	601.48	767.53	561.03	661.88	668.31	613.10	461.70	401.95	345.40	628.91	976.91	1066.96	894.82	840.75	795.50	729.65	505.38	932.05	1293.52	1585.71	1545.90	1441.40	1152.38
PK	39.50	79.38	77.40	170.20	136.27	191.81	206.79	168.56	186.05	186.43	247.33	360.25	260.10	337.41	769.00	509.61	946.17	994.86	1168.96	1313.27	1393.90	1288.82	1441.99	1700.39	1644.62	1714.96	2087.59
AR	400.49	313.30	336.00	437.83	685.82	439.60	637.69	557.18	367.02	517.32	612.41	518.38	776.53	593.39	779.87	906.10	961.17	878.25	979.24	609.64	883.40	795.50	995.21	822.82	773.60	503.35	479.70
